File Name,Term
0416_LSC - Ombra.mp4,Ombra
0417_LSC -  Pesat ⧸ pesada.mp4,Pesat ⧸ pesada
0418_LSC -  Petit ⧸ petita.mp4,Petit ⧸ petita
0419_LSC -  Pitjor.mp4,Pitjor
0420_LSC - Ple ⧸ plena (1).mp4,Ple ⧸ plena (1)
0421_LSC  -  Ple ⧸ plena (2).mp4,Ple ⧸ plena (2)
0422_LSC -  Prim ⧸ prima.mp4,Prim ⧸ prima
0423_LSC - Ràpid ⧸ ràpida.mp4,Ràpid ⧸ ràpida
0424_LSC  -  Ràpid (2).mp4,Ràpid (2)
0425_LSC  -  Ràpid (3).mp4,Ràpid (3)
0426_LSC  -  Sec ⧸ seca.mp4,Sec ⧸ seca
0427_LSC -  Segur ⧸ segura.mp4,Segur ⧸ segura
0428_LSC  -  Sòlid ⧸ sòlida.mp4,Sòlid ⧸ sòlida
0429_LSC  -  Suau.mp4,Suau
0430_LSC  -  Tancat ⧸ tancada.mp4,Tancat ⧸ tancada
0431_LSC  - Tou ⧸ tova.mp4,Tou ⧸ tova
0432_LSC  -  Trist ⧸ trista (1).mp4,Trist ⧸ trista (1)
0433_LSC  -  Trist ⧸ trista (2).mp4,Trist ⧸ trista (2)
0434_LSC  -  Vell ⧸ vella (cosa).mp4,Vell ⧸ vella (cosa)
0435_LSC  -  Veritat.mp4,Veritat
0436_LSC - Mentida.mp4,Mentida
0437_LSC - Públic ⧸ Pública.mp4,Públic ⧸ Pública
0439_LSC - Atletisme.mp4,Atletisme
0440_LSC - Vambes.mp4,Vambes
0441_LSC - Xandall.mp4,Xandall
0442_LSC -  Barça.mp4,Barça
0443_LSC -  Basquet.mp4,Basquet
0444_LSC -  Beisbol.mp4,Beisbol
0445_LSC -  Boxa.mp4,Boxa
0446_LSC -  Ciclisme.mp4,Ciclisme
0447_LSC -  Competició.mp4,Competició
0448_LSC -  Dard.mp4,Dard
0449_LSC -  Escacs.mp4,Escacs
0450_LSC -  Esport.mp4,Esport
0451_LSC -  Esquí.mp4,Esquí
0452_LSC -  Excursionisme.mp4,Excursionisme
0453_LSC -  Futbol.mp4,Futbol
0454_LSC -  Gimnàs.mp4,Gimnàs
0455_LSC -  Gimnàstica.mp4,Gimnàstica
0456_LSC -  Golf.mp4,Golf
0457_LSC -  Judo.mp4,Judo
0458_LSC -  Motociclisme.mp4,Motociclisme
0459_LSC -  Natació.mp4,Natació
0460_LSC -  Patinatge.mp4,Patinatge
0461_LSC -  Pesca.mp4,Pesca
0462_LSC -  Ping pong.mp4,Ping pong
0463_LSC - Piscina.mp4,Piscina
0464_LSC  -  Rugbi.mp4,Rugbi
0465_LSC  -  Tennis.mp4,Tennis
0466_LSC - Tir amb arc.mp4,Tir amb arc
0467_LSC - Vela.mp4,Vela
0468_LSC - Empat.mp4,Empat
0469_LSC - Gol (1).mp4,Gol (1)
0470_LSC - Graderia.mp4,Graderia
0471_LSC - Marcador.mp4,Marcador
0472_LSC - Partit.mp4,Partit
0473_LSC - RCD Espanyol.mp4,RCD Espanyol
